Reviewer Name,Review Text,Publish Date,Star Given,Review URL,Owner Response Text
Dwi Putri Amelia,"Nginep disini puas bgt. Dapet kamar yg bersih dan wangi, pelayanan staf nya jg baik dan ramah.
Pas paginya renang kolamnya jg bersih bgt, staff nya baik bgt anak saya di pinjemin pelampung sm staff nya pdhal ga minta. Suasana sekitar nya jg adem, sejuk apalg pas pagi, rekomendasi bgt👌",2025-05-15T06:01:28.980Z,5,https://www.google.com/maps/contrib/107079480309966210158?hl=id,"Kepada Ms. Putri Amelia
Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika kakak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali. 

Salam hangat, 
Management Tasneem Hotel Malioboro"
unzahadi gunawan,"Tempat lumayan,dekat mau kemana saja",2025-05-13T03:02:13.481Z,4,https://www.google.com/maps/contrib/104814255318272198070?hl=id,"Kepada Bapak Unzahadi Gunawan

Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali. 

Salam hangat, 
Management Tasneem Hotel Malioboro"
Revanda Nur Saputra,it was great and comfy,2025-05-12T17:46:44.336Z,5,https://www.google.com/maps/contrib/106263528691685071606?hl=id,"Kepada Bapak Revanda Saputra

Terima kasih sudah menginap di Tasneem Hotel Malioboro Yogyakarta. Kami turut senang jika bapak merasa puas dan nyaman selama menginap di Tasneem Hotel.kami juga memohon maaf atas kekurangan nya,semoga kedepan nya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali. 

Salam hangat, 
Management Tasneem Hotel Malioboro"
Quarantine Efects,"Parkirnya sampai ke bahu jalan. Bikin macet jalan. 2 ruas jalan 1 ruasnya dibuat parkir mobil tamu. Mungkin bisa dibenahi. Atau minimal pihak hotel bantu atur lalu lintas di sepanjang jalan. Masa hampir 1 jam terjebak di jalan depannya, cuma gara-gara mobil tamu parkir di bahu jalan.",2025-05-11T10:42:42.922Z,1,https://www.google.com/maps/contrib/113192882454242602977?hl=id,"Dear AQuarantine Efects

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Kami sangat menyesal mengetahui ulasan yang kakak sampaikan terkait pelayanan parkir. Masukan kakak akan kami jadikan evaluasi agar kedepannya tidak terjadi lagi. 

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp 08112648869 maupun hotline telepon 0274 371 333.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta
"
Arriyanna Sulistiyani,,2025-05-10T11:48:40.490Z,4,https://www.google.com/maps/contrib/117637075943803364145?hl=id,
AN Hidayatullah,Hotel yang sarat dengan Kultur budaya nya yang kental dan menambah posisinya Yang strategis ditengah Kota Yogyakarta.. Berdekatan dengan wisata purawisata dengan keramahan pelayanan yang baik,2025-05-06T02:00:50.084Z,5,https://www.google.com/maps/contrib/104538020754369313180?hl=id,"Dear AN. Hidayatullah

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Mas Padi Reviewer,"Tasneem Hotel & Convention Yogyakarta
Hotel bintang 3 yang nyaman dan strategis di pusat Yogyakarta, tepatnya di Jl. Brigjend Katamso, Keparakan. Suasana asri dengan taman hijau dan pepohonan rindang, cocok untuk keluarga maupun acara bisnis.

Kamar tersedia dalam tipe Superior dan Deluxe. Deluxe memiliki balkon dan pencahayaan alami, sementara Superior lebih terjangkau namun tanpa jendela. Fasilitas kamar lengkap, termasuk Wi-Fi, TV, AC, dan ketel listrik.

Sarapan disajikan secara buffet dengan pilihan menu lokal dan internasional di Etnik Café. Tersedia juga restoran taman yang nyaman dan kolam renang outdoor. Keunggulan lainnya adalah adanya pertunjukan budaya Sendratari Ramayana yang bisa dinikmati tamu dengan harga khusus.",2025-05-04T00:26:34.236Z,5,https://www.google.com/maps/contrib/103512670884555251104?hl=id,"Dear Mr. Mas Padi Reviewer

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Salim Balahmar,,2025-05-04T00:17:44.293Z,4,https://www.google.com/maps/contrib/100406927629661858423?hl=id,"Dear Mr. Salim Balahmar

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Dany Satyogroho,,2025-05-02T09:28:26.133Z,5,https://www.google.com/maps/contrib/105551608861708302436?hl=id,"Dear Mr. Dany Satyogroho

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Wisnu Saputra,,2025-05-01T07:26:21.710Z,5,https://www.google.com/maps/contrib/104797111258015307008?hl=id,"Dear Mr. Wisnu Saputra

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
44 Laundry Spesial Express,,2025-05-01T00:25:55.983Z,5,https://www.google.com/maps/contrib/108737448295834954761?hl=id,"Dear 44 Laundry Spesial Express

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
esti khasanah,Bagus sip,2025-04-26T01:53:51.947Z,5,https://www.google.com/maps/contrib/116016037784666105925?hl=id,
Marcello Evan,"Kecewa.Wifi ada banyak tp lemot sekali, percuma wifi banyak kalau signal ga kuat.
Download file 30 mb saja 10 menit

Mohon diperhatikan jaringannya untuk kedepan.",2025-04-25T14:42:43.857Z,2,https://www.google.com/maps/contrib/112052255914709791036?hl=id,"Dear Mr. Marcello Evan

Terimakasih kami sampaikan telah memilih Tasneem Hotel Malioboro Yogyakarta sebagai tempat akomodasi menginap ketika berada di Yogyakarta.

Kami sangat memohon maaf atas pengalaman menginap yang kurang baik yang kakak alami.

Akan menjadi evaluasi untuk kami agar lebih baik lagi dalam menjaga kualitas hotel kami, dan akan kami lakukan perbaikan secara menyeluruh, agar kejadian yang sama tidak terulang.

Terutama terkait masalah signal wifi, tentu akan segera kami lakukan perbaikan, supaya kedepannya tidak ada lagi tamu-tamu yang terkendala dengan masalah jaringan wifi.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp 08112648869 maupun hotline telepon 0274 371 333.

Terimakasih

Salam hangat

Tasneem Hotel Malioboro Yogyakarta."
Aroisy Ramadhan,,2025-04-23T07:35:36.549Z,5,https://www.google.com/maps/contrib/116607604172621210921?hl=id,"Dear Mr. Aroisy Ramadhan

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Triana,"Alhamdulillah hotel langgan tempat kerja
Sangat bagus sekali pelayanannya
Bersih. Strategis. Semoga barokah",2025-04-20T13:59:51.636Z,5,https://www.google.com/maps/contrib/104864165735353462570?hl=id,"Dear Ms. Triana

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Zen Zaenall,"Langganan kantor BMT Beringharjo. Masakan enak, ruangan bersih, parkir luas, worth it pokoknya.",2025-04-19T15:36:45.239Z,5,https://www.google.com/maps/contrib/103090896668825658331?hl=id,"Dear Mr. Zen Zaenall

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Yadi Maulana Maulana,,2025-04-18T12:53:02.722Z,5,https://www.google.com/maps/contrib/113135778040167177896?hl=id,"Dear Mr. Yadi Maulana 

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Ardi Rimbawan,,2025-04-18T08:50:29.789Z,5,https://www.google.com/maps/contrib/104799135064829418230?hl=id,"Dear Mr. Ardi Rimbawan

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Fionn ThePianoschool,Ok,2025-04-18T03:08:49.074Z,5,https://www.google.com/maps/contrib/111168881962516007755?hl=id,
sri purwati,Bagus dan keren....nyaman tmptny,2025-04-16T12:27:40.819Z,5,https://www.google.com/maps/contrib/114379299541450408092?hl=id,"Dear Mrs. Sri Purwati

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
WR,"Hotel yg sangat nyaman,bersih,lengkap aminitiesnya,semua fasilitas dr hotel berfungsi sangat baik,ada kolam renang,deket bnget sm malioboro,sangat stretegis,pelayanannya fast respon skali.utk menu breakfastnya enak,next klo ke jogja kita staycation dihotel ini lg 🥰",2025-04-13T09:34:20.823Z,5,https://www.google.com/maps/contrib/112995316751235303704?hl=id,"Dear Mr. WR

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
erma khoirunnisa,Wajib kesini kalo nginep dijogja,2025-04-13T07:06:41.204Z,5,https://www.google.com/maps/contrib/112350787894370168001?hl=id,
"Dyan Fibri Liestyarie, SE.",Nyaman sekali,2025-04-09T12:56:52.650Z,5,https://www.google.com/maps/contrib/117629653079317675681?hl=id,"Dear Mrs. Dyan Fibri Liestyarie, SE

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
drh. Agus Riyanto,,2025-04-08T15:38:52.433Z,4,https://www.google.com/maps/contrib/115214844542434209902?hl=id,"Dear Mr. drh Agus Riyanto

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan Bapak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, bapak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
Anisa Mulyati,"Karyawannya amanah, hp teman ketinggalan disimpan. Dan overall semuanya menyenangkan dari lokasi sampai kamar",2025-04-08T11:13:25.564Z,5,https://www.google.com/maps/contrib/110042089571273164945?hl=id,"Dear Mrs. Anisa Mulyati

Terimakasih telah meluangkan waktunya untuk memberikan ulasan kepada Tasneem Hotel Malioboro Yogyakarta.

Ulasan kakak sangat berarti untuk kemajuan Tasneem Hotel Malioboro Yogyakarta. Tasneem Hotel Malioboro dikonsep dengan nuansa garden yang asri membuat pengunjung nyaman dan terkesan selama di Tasneem Hotel Malioboro Yogyakarta. Kami juga mohon maaf atas kekurangannya selama berkunjung di Tasneem Hotel Malioboro Yogyakarta.

Apabila terdapat hal yang bisa kami bantu, kakak dapat menghubungi kami melalui official whatsapp maupun hotline telepon yang tersedia.
Semoga kedepannya kami bisa memberikan pelayanan yang lebih baik lagi. Kami tunggu kedatangan nya kembali.

Terimakasih

Salam hangat

Managemen Tasneem Hotel Malioboro Yogyakarta"
