Reviewer Name,Review Text,Star Given,Publish Date
didik,"Menurutku ini salah satu pertunjukan yang wajib masuk list ketika berkunjung ke Jogja. Meski dg alur cerita yang sudah cukup dikenal, tapi rasanya selama pertunjukan hampir 2 jam ga kerasa bosen krn ditampilkan melalui drama tari yang keren banget. Lightingnya juga oke menambah apik pertunjukan. Salut. Semoga terus lestari kesenian trandisional seperti ini.",5,2025-05-13T06:25:40.648Z
Winda Nazula,Puas bgt nonton ramayana disini Khusus warga jogja ada promo setiap hari sabtu pelayanan juga ngk dibeda2kan walaupun pake harga promo👍👍👍,5,2025-05-12T08:20:04.790Z
Achmad Ibrahim,"Dr kecil, remaja smpai dewasa ini sy cinta skli pd budaya jawa khusus nya wayang orang,",5,2025-05-08T04:57:34.008Z
이상우,볼만해요. 폭죽이 터질때는 조금 위험해보였어요.,3,2025-05-06T01:40:26.848Z
Noorur Choudhury,"I loved it entirely, enjoyed the show from beginning to English",5,2025-05-05T19:34:30.327Z
Sino Channel,,5,2025-05-02T15:47:58.481Z
Laila Roudhotul Karimah,,5,2025-04-29T12:09:58.862Z
Sayurasem Segerbanget88,"Maaf, mnt tlg info jam pertunjukannya ka....
Trma kasih buat tgl 10 mei",5,2025-04-29T03:02:30.113Z
Freja Butler,,4,2025-04-28T09:42:37.533Z
Ayeshia Faustine,"Ramayana show is one of a must show to see when you’re visiting Jogjakarta. It’s in the middle of the city and the venue is a semi open air space. You could choose a package with buffet dinner or just a show. We opted out buffet since we already had dinner way before the show. However, their dinner looks decent and good. Before the show started, we were given out a drink as well as the story of the show. So we could understand how the story goes when show starts, which was very thoughtful gesture in my opinion. Since we read the story beforehand, we could understand most of the characters that were showing up at the show. All the characters were shown beautifully and their dances are amazing. We got to see a bit of fire show as well during the battle numbers. We were glad we decided to watch this show as part of our holiday! 🫶",5,2025-04-27T02:02:43.163Z
Faisal Najib,"Tempatnya luas nyaman, ramayana balletnya ngeri.....",5,2025-04-26T16:28:58.354Z
DIAN PRI HARTINI,,5,2025-04-26T13:06:14.875Z
Ahda Farhan Kamil,"Kalau bikin nama pertunjukan jangan sama dengan yang lain 😡 , udah booking ticket malah ketuker lokasi 😡",1,2025-04-26T12:04:59.040Z
Amalia NF,,5,2025-04-26T04:13:00.469Z
Pikentrophus,,4,2025-04-24T05:26:12.060Z
Fakhrul Putra,"Salah satu tontonan kebudayaan di jogja yang wajib di coba. Mementaskan cerita rakyat tentang ramayana. Lokasi di daerah kota jogja. Bisa memesan paket menonton saja atau sekaligus diner. Lebih direkomendasikan untuk memesan tiket atau order via website dan atau app sebelum nonton. Bisa juga beli langsung di lokasi. Saat pertama masuk akan disambut oleh petugas dengan pakaian adat jawa dan diantar ke hall di dalam. Petugasnya super ramah 👍🏻. Dapat Free 1 air mineral botol sebelum masuk. Tempat bersih dan nyaman. Lokasi parkir luas, muat mobil, bus maupun motor. Harga terjangkau.

Harga :

Foreign :
- Dinner + Ramayana Ballet : 475K
- Ramayana Ballet : 300K
- Dinner : 200K

Warga Lokal :
- Dinner + Ramayana Ballet : 325K
- Ramayana Ballet : 150K
- Dinner : 200K
- Siswa : 75K (Hanya berlaku untuk maksimal Siswa SMA, dengan menunjukkan Kartu Tanda Siswa)",5,2025-04-23T10:38:35.584Z
Umapathy Channa,,4,2025-04-23T10:05:25.449Z
Buto Ijo,,5,2025-04-21T06:43:30.108Z
Dany Satyogroho,"Pengalaman yang memorable banget, sangat indah dan suka sekali dengan pertunjukan sendratari dan atraksi yang disuguhkan disini...bintang lima untuk Ramayan Ballet Purawisata yang masih menghidupkan seni dan budaya jawa di tengah gempuran modernisasi",5,2025-04-20T15:38:53.669Z
Rani Rifani Arifuddin,"Pengalaman baru lagi di jogja, pagelaran seni yg menarik",5,2025-04-20T06:36:26.155Z
Yudhi Ashadi,,5,2025-04-20T05:52:00.731Z
Esti Efendi,Keren banget sih ini penampilannya totalitas bangetttt,5,2025-04-20T03:35:15.209Z
anjar abimanyu,"Sangat menyenangkan, dan memberikan kesan yang luar biasa, detail tari dan cerita luar biasa",5,2025-04-18T14:44:21.824Z
WiendyW,"Dulu tempat ini dikenal sebagai THR atau taman hiburan rakyat, sekarang tempat ini diubah menjadi resto ekslusif yg juga mementaskan lakon ramayana. Reservasi dibutuhkan untuk menikmati paket makan malam plus sendratari ramayana. Parkiran luas.",5,2025-04-16T11:52:45.835Z
Dani Setiawan,Bagus banget mau balik lagi,5,2025-04-13T06:05:33.917Z
Ayu Umairoh,Salah satu best experience kalau mau tau cerita tentang ramayana dengan pertunjukan yang mengagumkan.,5,2025-04-12T13:50:25.777Z
Permata Vania,,5,2025-04-05T14:57:36.458Z
Arfi Bambani,,5,2025-04-05T12:02:13.974Z
Salsa Billa,,5,2025-03-23T07:55:33.273Z
A H,"The positive part is the location of the theatre which is convenient near the city. It’s semi open air setting is also very cozy.
However, the show itself was a total disappointment. The characters were not convincing and lacked the energy and drama. Just for an example, face expressions was smiley when being kidnapped.
We couldn’t make ourselves to stay until the end. It’s just like watching amateur theatre with nice costumes. The best part of was the act with fire.

Maybe the first time tourists who have never seen a real Indonesian or Balinese ballet or show might think this show is entertaining.
Besides the theatre too needs renovation to be presentable.",1,2025-03-20T04:05:44.933Z
Rita Windia,Terimaksih sudah memberikan pengalaman menonton sendra tari Ramayana di purawisata keren sekali .,5,2025-03-17T14:59:19.973Z
udaya silva,,5,2025-03-08T10:17:56.084Z
Narayani Balasubramaniam,,5,2025-03-07T11:29:24.690Z
Noor Zahrotul Muniroh,,4,2025-03-06T06:07:06.287Z
Iwan Y. Setyabudi,,4,2025-03-05T04:03:17.409Z
Ikfina Maufuriya,keren pertunjukannya. kesini pas dapet promo khusus yang ber-KTP DIY cuma bayar 20 ribu udh dapet minum satu botol 300 ml.,5,2025-03-03T12:29:48.189Z
budi kuncoro,Pelestarian budaya tari Ramayana...pertunjukan yg mempesona,5,2025-03-03T04:40:40.550Z
Anis Sukowati,"Pertunjukannya bagussss totalitas sampe genteng pada jatuh.., kemarin ambil yang sekalian include makan malam., yg jadi pertanyaan semua free kecuali juz dan air putih., lha gimana abis makan tanpa minum air putih?????",5,2025-03-03T01:19:19.233Z
mommy shop,,4,2025-03-01T12:44:05.268Z
bestina rustami,,4,2025-02-27T02:36:17.026Z
Mama cantiq,"Bagus, cm agak bingung ceritanya..",5,2025-02-26T05:20:06.183Z
Milati Rohmatus Sakinah,"Bagus banget

Sendratari ramayana worth buat diliat. Ga cuman tari”an drama aja tp ada atraksi yg bikin kagum. Tiketnya 120rb/org dan bisa dibeli di agoda, traveloka.

Tempatnya di jogja kota. Di dalam kawasan hotel. Kalian juga bisa pesen tiket yg plus dinner jadi sebelum nonton bisa dinner dulu disini",5,2025-02-24T13:22:22.073Z
Indri Marlinda,Seru bgt pokoknya...! Banyak spot untuk foto2 yg instagramable. Cucok ✨️✨️,5,2025-02-21T06:10:02.124Z
Toha Pratama,Bagus pentas seninya. Tempatnya lumayan nyaman.,5,2025-02-21T02:11:46.418Z
Pamela Johnson,Had an amazing experience watching this show. Thank you team 🌻,5,2025-02-19T10:45:00.836Z
Elfira Rosita,,5,2025-02-18T05:57:25.352Z
IntrepidTeach,Easy ticket ordering online. I recommend buying the buffet & show for a relaxed time before show starts. The lighting and acoustics were good. The costumes and dancing were mesmerizing.  My only wish is that they'd have seats with backrests for more comfortable viewing.,5,2025-02-13T13:37:42.436Z
Marcin Godlewski,Super aktorzy i super spektakl,5,2025-02-13T09:29:33.329Z
Eka agustine,,5,2025-02-13T05:49:45.487Z
Muhammad Febriansyah,"Pengalaman saya, datang saat ada event nonton Ramayana bersama warga Jogja dengan HTM Rp20.000 per orang dan terbatas untuk 100 orang. Saya berkesempatan untuk memasuki dan melihat secara langsung pertunjukan cerita wayang Ramayana dengan penuh atraksi-atraksi yang memukau penonton. Penonton baik wisatawan domestik ataupun mancanegara. Pelayanan yang ramah dari para pegawai purawisata. Selain itu tempat yang menggabungkan tradisional Jawa dengan kemajuan zaman sangat terasa di purawisata ini. Sukses selalu untuk purawisata DNA terima kasih telah memberikan potongan harga menjadi 20.000. Semoga suatu saat nanti saya bisa kembali melihat pertunjukan ini dengan orang tercinta.",5,2025-02-09T06:20:51.551Z
Setiawan Aswin,,5,2025-01-29T13:03:18.606Z
Wie Setiawan,,4,2025-01-23T09:53:39.965Z
Ulfah Fadilah,"Staff nya friendly, tourist dpt story paper agar mudah mengerti jalan cerita yang sebenarnya local juga butuh, ndk semua orang jawa.",5,2025-01-20T02:23:42.522Z
Dini Suminar,,5,2025-01-19T05:42:22.417Z
Rama Seutia,The dance was a bit too slow paced in the beginning for my liking but it got better sometime in the middle. Still worth five star for me. There a nice restaurant to enjoy local cuisine next to it.,5,2025-01-17T01:14:46.401Z
Nic,"Genuinely the best performance I’ve ever seen - a must-see for anyone interested in Javanese culture. The dancers were extremely elegant and graceful, as well as excellent in their showmanship, pushing the limits of what is possible on stage. They were able to blend in comedy and spectacle without compromising on the traditional feeling of the dance. Even as someone almost completely unfamiliar with the Ramayana, I was able to follow the story comfortably after a quick skim-read beforehand, and even if I hadn’t been able to follow the meaning, the pure visuals and performance are more than worth seeing alone.

The restaurant itself was also excellent, with a beautiful setting and friendly staff. The buffet meal was delicious and generously-portioned.",5,2025-01-08T15:15:58.816Z
Pieter Danang,Tempat menyaksikan ramayana selain prambanan,5,2025-01-08T13:49:31.620Z
Morgana Mendonça dos Santos,Espetáculo interessante.,4,2025-01-08T02:31:32.572Z
Andi Jogja,Customer langsung sampai depan rumah,5,2025-01-02T12:03:15.388Z
Piskita Eny,Paling tidak sekali seumur hidup wajib kesini..,5,2025-01-01T13:40:35.492Z
Singgih Nurahman,,5,2025-01-01T06:42:57.426Z
Shally,"The staff warmly welcomed us and gave us traditional drinks. The seats are already arranged and we are escorted to our seats. It was very orderly and organized. The ballet performance was beautiful, and I love every single detail of the story. I was a bit shocked by the fireworks.",5,2024-12-28T13:32:50.117Z
Reynand Nugroho,Sangat baik,5,2024-12-24T10:18:53.432Z
sukma okta,"Tempatnya luas untuk pertunjukan, akan tetapi pada bagian tangga sebaiknya ditambahkan lampu untuk menghindari pengunjung yg tergelincir karena minim penerangan.

Banyak penjual makanan di dalam dan luar dan juga ada arena outdoornya, cocok untuk membawa anak kecil yg suka berlari. Toilet banyak namun ada beberapa yg tidak ada slot kuncinya, dan agak bau. Untuk parkir cukup luas, tapi akan lebih baik jika keluar masuk kendaraan dapat dikomunikasikan lagi agar tidak terjadi penumpukan kendaraan yg akan masuk dan yg akan keluar malah tertutupi",5,2024-12-24T06:09:58.734Z
nugraha saputra,,5,2024-12-20T04:18:58.760Z
Poes 17,"Tempat luas ,parkir luas,,",5,2024-12-18T16:58:01.566Z
rey nan,tempat bagus,5,2024-12-18T09:15:17.511Z
Rifan Chow,Superb show. Entertaining as well as educating,5,2024-12-17T06:14:11.273Z
septi suryawati,"Tempatnya luas, biasa digunakan untuk lomba drumband atau angklung anak TK",5,2024-12-14T03:46:59.427Z
Ditya,,5,2024-12-12T16:50:30.387Z
Rifqi Rahman,,5,2024-12-11T08:56:16.438Z
Imam Fajar,,5,2024-12-10T04:44:05.082Z
rita zahra,"a very epic traditional dance performance, ticket can be purchased directly at the counter if they run out on the online application",5,2024-12-04T02:36:44.939Z
Desi kemalasari,Nonton Ramayana Ballet sampe nangis karna terlalu menghayati alur cerita nya terlebih dapet pemandangan yg begitu indah luar biasa 🥰😍🤩,5,2024-12-03T11:12:17.177Z
Sindurizkiardian,"Tempat pertunjukan yang keren dan proper ,",5,2024-12-03T09:56:53.607Z
desykartikasari,tempat ny bagus. buat lighting ny keren saat tampil.,5,2024-12-01T15:23:51.567Z
Choi Rina,"nice place, kesini bukan buat nonton pertunjukan ramayana sih, tapi nemenin lomba angklung anak-anak TK. tempat penontonnya lumayan muat banyak, tapi gelap hihi",5,2024-12-01T09:58:57.086Z
argo wibowo,"Tempatnya sih oke, parkirnya yang gak oke. ga ada karcis parkir, tapi minta dibayarnya mahal banget. perlu dicek ama dinas terkait nih, ditertibkan",2,2024-12-01T03:56:45.353Z
Rizki Wulandari,kerennn,5,2024-11-24T01:04:30.717Z
arve riana,,5,2024-11-21T03:22:13.466Z
Hendri Setiawan,Cocok buat makan malam sambil lihat wayang atau ramaya ballet,5,2024-11-18T08:06:57.949Z
Mac,"The show was entertaining, and I appreciated the dancers' hard work.  The one that stands out to me the most is the Rahwana's, but the rest are so-so.

For those unfamiliar with the story, the cultural context, or any dance movement and its symbolism, this performance could be enjoyable show.",4,2024-11-18T04:47:41.753Z
Handy Gunawan,Purawisata Tempat yang Keren. Makanannya Enak. Ada Pertunjukkan Ramayana Ballet yg Keren. Dan Ada Hotelnya juga... The Best lah pokonya mah...,5,2024-11-10T15:54:45.223Z
Prem Mydin,Great place to watch a show in the evening. You can buy tickets with/without dinner using Klook. There is another theatre with the same name. Make sure you are going to the right theatre.,5,2024-11-09T00:47:02.659Z
Salma,"Sesuai Standar, hanya saja saran saya coba sediakan kantin atau cafe yg memang dikhususkan utk pengunjung, jadi tidak semuanya disewa untuk acara tertentu",4,2024-11-07T08:40:28.070Z
Hayati 96,"Kalo ke Jogja lagi, mau nonton yang di Prambanan",5,2024-11-05T04:09:24.599Z
Maura Zenitha Zayn,,5,2024-11-03T12:30:01.247Z
Eka Yulianta,Masih nyaman untuk kegiatan termasuk lomba burung berkicau,5,2024-11-03T12:27:28.731Z
Ishak Yonathan,,5,2024-10-31T22:08:18.488Z
Alice Cantor,"The show was very interesting. I got the ticket with the dinner, which was pretty expensive. They did accept card payment. Dinner was a buffet. Tea and coffee included, but no water or soft drinks, which seemed like a rip off considering how much we paid. Food was pretty tasty, although the chicken was mostly bones.",3,2024-10-31T05:40:24.180Z
Sri Carlos,,5,2024-10-29T15:33:06.688Z
Yelisaveta Budko,,5,2024-10-24T05:33:11.210Z
Hilmanda,,5,2024-10-22T11:08:11.909Z
Bernice Ho,,4,2024-10-19T15:44:39.103Z
Agoes Bendz,Tepat akurat,3,2024-10-19T01:36:42.406Z
Shari Abas,You can get a show only ticket or a buffet meal inclusive one. The place is quite nice. We opted for the dinner option and the food was acceptable with lots of options. The show itself is held in a basic amphitheatre. The musicians played flawlessly from the beginning to the end. The costumes were beautiful. The show ran for 1.5 hours and was quite entertaining with some surprises along the way. Do bring mosquito repellent and a hand fan as it could be very warm.,5,2024-10-18T10:29:32.277Z
03. Amalya kumalasari,,4,2024-10-15T08:48:52.818Z
Andika Rachman,"Traditional javanese cuisine in a nice garden, after dinner you can watch Ramayana ballet dance, a traditional javanese dance of Ramayana from the ancient javanese kingdom of medang.",5,2024-09-28T07:21:19.177Z
Rosa Avola,"Molto interessante. Gli interpreti sono bravi e lo spettacolo scoppiettante. Diciamo che dirà 1 ora e mezza senza pausa, e per le nostre orecchie, che non sono abituate a queste musiche, è i. Po' tanto. Però vale la pena",5,2024-09-25T14:53:31.202Z
Indra cahya wardhana,Seru.,5,2024-09-22T04:31:49.792Z
Afri Mellyana,,4,2024-09-20T03:27:46.691Z
Hilda Ismiyatun Solichah,kesni buat acara zumba party color run...tempatnya sejuk,5,2024-09-19T11:41:54.957Z
Thanis Pattananiraman,สถานที่เก่าเวทีไม่สวย การแสดงธรรมดา ถ้าเทียบกะที่bali ชุดไม่ค่อยสวย นักแสดงมีเด็กหลายคนยังไม่เก่ง ระบบแสง เสียงก็ธรรมดา ก็พอดูได้สำหรับ yogyakarta,3,2024-09-19T02:54:46.614Z
Abheeth Podinilame (abheeth_lokuayya),"It was really worthy, I thoroughly enjoyed the show even though the narratives were different than the ramayanaya we heard in Sri Lanka. Must go experience in Jogja!",5,2024-09-17T05:01:52.327Z
Yolanda Arista Dewi,"Pengalaman baru menyaksikan show Sendratari Ramayana Ballet dengan view Candi Prambanan. Senang sekali bisa nonton di spesial show pada tanggal 17 Ags 2024. Sengaja pesan ticket VIP 3 minggu sebelumnya agar bisa menyaksikan dengan view terbaik, untuk service nya saya akui TOP banget, via online ataupun sudah dilokasinya. Semoga next time bisa nonton kembali pagelaran lainnya di Prambanan😍",5,2024-09-14T02:33:42.785Z
Susilawati medical,Masih buka ga sih,5,2024-09-14T02:25:17.568Z
Andrä Hölzl,,5,2024-09-11T16:15:24.156Z
Sulis tianingsih,,4,2024-09-10T12:48:54.734Z
ade setiawati,"Hanya singgah di luar untuk joging Ke Purawisata. Pagi tidak ada tanda-tanda kehidupan, sepi sekali, dan terlihat horor. Ada papan informasi mengenai jadwal pertunjukannya.",5,2024-09-10T04:02:06.945Z
Yasin Coban,The dancers where very good and it was a beatyful Performance. I didnt Like the food however. It tasted like it was modified for Western taste and not authentic at all.,4,2024-09-08T06:27:08.247Z
bela BASTA Pengrajin Marmer,"Pengalaman pertama kali yang seru dan juga menyenangkan.
Pertunjukannya bagus banget, kemudian pemainnya juga luwes ketika menari. Para petugas juga ramah",5,2024-09-03T08:39:46.233Z
Satya Venugopal,,5,2024-08-31T07:01:40.986Z
Monaco Ehl,Gut organisiert. Ansehnliches Theater.,4,2024-08-30T07:30:16.773Z
akshay jadeja,It was a wonderful experience. Although the story of Ramayan is shortened but the musical portrayal is worth the watch for the acting by various characters,5,2024-08-25T07:45:28.622Z
Riesang channel,Tempat luas dan nyaman,5,2024-08-24T23:39:21.061Z
Bas Rosenboom,"Very cool to see, but prepare your body for sitting on a small pillow with no back rest for 2 hours. Quite a sit haha, but the dancing was very cool!",4,2024-08-22T13:55:54.386Z
Reynard Harun,,3,2024-08-19T12:43:00.220Z
木村陽佑,"ディナー付きで475,000rpです。シェムリアップのアプサラショーと比べると値段もやや強気に感じますが、料理はジョグジャカルタ名物も多く美味しいです。",5,2024-08-14T12:10:48.943Z
FGH “KFGH” K,klookでディナー付きチケットを予約。飛行機到着が遅れに遅れ空港から直行しショー開始から遅れて会場へ。ショーは１時間30分ほどあり十分。ショーが終わってからのディナーは食べられませんでした。会場周辺は非常に渋滞が激しいため、時間に余裕をもって到着することをおすすめします。,4,2024-08-14T04:46:23.015Z
Fajar Nabila Aditama,"The dance theater that has been established for almost half a century, brings a new experience in enjoying classic Javanese folklore to be even more extraordinary.

They bring the story of Ramayana, telling about the struggle of Prince Rama to save his queen Shinta from the hands of the evil giant, Rahwana. Good movements, detailed costumes, dynamic gamelan sounds, plus lighting and other interesting effects make the show even more spectacular.

You can order tickets directly or order online via the application (traveloka, trivago, etc.)",5,2024-08-12T08:47:39.721Z
Esther Fernandez matesanz,,3,2024-08-11T04:19:05.621Z
Rr Nurul Yahya,,5,2024-08-10T13:09:29.251Z
Enric Forte,"La entrada completa con buffet y espectáculo de danza de Ramayana muy buenos! El ballet entretenido y además muy conseguido representando la historia! Además los niños que actuaron lo hicieron muy bien, como los futuros actores que serán!",5,2024-08-09T15:44:35.175Z
Karni Narendra,,3,2024-08-09T12:50:52.000Z
Kanal Jogja,Keren top banget,5,2024-08-08T10:59:38.219Z
LIU秀,"有趣且華麗的視覺饗宴！
可以現場買票哦！",5,2024-08-07T16:10:03.817Z
Steph FamPow,"Le buffet est abondant mais pas le meilleur dans les saveurs.
Le spectacle est lui vraiment bien.
C'est très traditionnel.
Très bien exécuté.👍",4,2024-08-06T00:24:56.510Z
Rinto Aja,,4,2024-08-04T05:07:18.113Z
Yogie Enjang G,"Lingkungan yang ramah friendly, tenang dan tertib",5,2024-08-03T23:16:25.603Z
QUESNEY DEBORA,"Le spectacle est incroyable !
La musique traditionnelle et la voix de la chanteuse donnent vie aux personnages. Les costumes sont magnifiques, dommage que le sol noircisse autant les pieds des danseurs.
Certaines scènes ont été difficile pour mon fils de 5 ans. La musique vient dramatiser les scènes de crime. La scène de furie où le singe se fait brûler est très surprenante pour un enfant, bien qu'elle soit magique pour les adultes ! Le spectacle est à voir au moins une fois dans vie.
PS : trop dommage que 2 gros blocs d'air conditionnée, soient dans le champs de vision. Ils devraient opter pour un autre format ! Aussi, il est dit qu'il n'est pas possible de réserver son siège, alors qu'au final on est placé, sans avoir un mot à dire.",5,2024-07-28T14:55:42.180Z
Wagleri i,"Menyediakan seblak, bakso acj, minuman, dan snack",5,2024-07-26T10:24:35.396Z
Chris Adkins,Dinner is a buffet style and very good and there are plenty of options available. The show was very long and confusing. I spent most of the 1.5 hours wondering what was going on.  There is a handout printed in multiple languages  that should have helped but I didn't study it hard enough before the show.,4,2024-07-24T05:09:19.497Z
andre ridwan,"Good service, good place 😙😍",5,2024-07-15T13:24:52.761Z
Patrick Jacoby,,5,2024-07-14T14:12:14.679Z
Pandu Wicaksono,,5,2024-07-13T13:46:46.520Z
Toto Andrio Nugroho,,5,2024-07-12T14:33:19.467Z
Lufthi Himawan,Bagus buat wisatawan yg ingiin tau cerita sejarah melalui tarian.,5,2024-07-09T08:07:23.170Z
Heru “Her” Wahyono,"Lumayan buat cari2 keperluan
Ramayana  dr dulu",3,2024-07-09T01:01:26.822Z
Lia chanel,"Anoman nya keren bgt, apalagi pas main kembang api, seruuu",5,2024-07-09T00:11:47.304Z
Dalwa Barbershop,Sangat tebaik,5,2024-07-05T11:15:32.774Z
Brian Issac,"Pertunjukan yang menghasilkan, dapat mengenal budaya",5,2024-07-04T07:35:03.442Z
Andy Maulana Wijaya,"Keren, reservasi pas sehari sebelumnya, untuk dinner dan show, makanan nya enak dan penampilan shownya keren, wajib kalo kejogja.",5,2024-07-03T16:26:11.477Z
Aidan Beard,"Seating is a bit uncomfortable, but the pyrotechnics are good. I'd probably have enjoyed it more if I enjoyed ballet more, but every time I try I just wish I was at a musical.",4,2024-07-02T08:19:14.530Z
Marine Marques,"I had the option dinner buffet + show and it was worth it. I have seen many dance shows in Indonesia but this one was my favourite. The room was really big and not crowded at all, which enabled me to have a better experience.

Regarding the food, it was delicious with a lot of vegetarian options.",5,2024-06-30T12:24:42.535Z
A. Rachman dj,Romantis denganlatarbelakang candi pfambanan d hiasi indah ya sinar purnama,2,2024-06-29T04:48:37.380Z
Crystal,The ballet is very nice and they provide you with the story in many languages so that you can understand 👍,5,2024-06-25T10:48:03.202Z
christina saraswati,,5,2024-06-17T08:11:47.150Z
Ahmad Dimas Agung Nugroho,Masakan enak pol,5,2024-06-16T16:49:07.254Z
Jaiganesh Sellaiyan,Wonderful experience,5,2024-06-15T23:41:11.413Z
Isthi Utami Darojatin,"1st time nonton Ramayana Ballet. Pengalaman baru yang menyenangkan, btw aku ambil paket makan malam + pertunjukkan. Senang deh aku sama service crew restaurant dan crew pentas, ramah, sigap dan sangat membantu.",5,2024-06-15T14:30:35.048Z
Rudy Chandra,,5,2024-06-11T14:39:17.991Z
Frank Schittenheln,Toller Event,5,2024-06-09T16:20:54.973Z
Eko Prastiwi,"Tempat luas, tribun bersih, toilet dekat,",5,2024-06-01T11:49:31.029Z
Shafa Ayuthaya,"Nice experience, staffs super friendly, the show really amazed me because they use property such as fireworks and real fire",5,2024-05-30T04:48:01.496Z
Ritchie Kunne,"Extensive buffet before the show in a beautiful garden. The show itself was good, but a bit tedious. Nice to learn from the story of Rama and Sita.",4,2024-05-28T23:33:39.047Z
まるてつ,"ディナー、バレーを堪能させていただきました。
ディナーはビュッフェ形式です。
一通り食べましたが、どれも美味しかったです。
バレーは食事の後に行われます。
独特な動きがとても印象的でした。
一点残念なのは、小猿は子供が演じていたのもありますが、劇中にもめていたので少し残念でした。
とはいえ、全体的にはいいものだと思います。",4,2024-05-28T14:39:40.754Z
Jerzy Olchawa,,5,2024-05-26T02:35:24.479Z
MatroseTi,"Waren auf Empfehlung von unserem Reiseführer dort
Wir hatte die Kombi Abendessen und Theater
Abendessen war super lecker! Es gab Buffett mit reichlich Auswahl und alles hat super geschmeckt
Theater war ebenfalls sehr spannend u d für uns Europäer so fremd. Durch die deutsche Beschreibung konnte man aber das Geschehen nachvollziehen
Fazit: auf jeden Fall zu empfehlen",5,2024-05-22T16:13:52.161Z
